TEXT DATA,LABEL
Kajal you are so beautiful,Non stressed
emana chepav broo,Non stressed
Although this movie is being remaked now but still noone can match pilla raa,Non stressed
Please shishira prashu bro and dharani akka tho chey,Non stressed
So bad bro,Non stressed
Na 10th class facebook meem edi,Non stressed
 @ramadevirama6022  super,Non stressed
Idendhayya swaami....... valla iddaru chesina overacting ki ah bigboss ante ne chiraku vachinrhi. Chi chiii dandam saami,Non stressed
Soopar Figars Tokkeyyandi,Non stressed
Siri place lo Deepthi unte Shanu ala chestada,Non stressed
"Mahesh Babu first film 1979
Jr ntr birth year 1983",Non stressed
"అందరికీ నీలానే అనిపిస్తుంది బ్రో. నాకు మాత్రం ఖచ్చితంగా కాదు. ఎందుకంటే నాకు ఎప్పుడోనే పెళ్ళయ్యి ఇప్పుడు రిటైర్ కూడా అయ్యాను. ఇప్పుడు ఆ ఆశ లేదులే. అనుభవంతో చెప్తున్నా ఏవీ అనుకోవద్దు. సినిమాల్లోలా జీవితంలో జరగదు. నిజ జీవితంలో అట్టాంటి ఉత్తమ స్త్రీ కావాలంటే ఆ మగవాడికీ కొన్ని అర్హతలు ఉండాలి. మంచి చదువు, మేధస్సు, గుణసంపద, ధనం, మంచి ఉద్యోగం లేదా వ్యాపారం ఇలా. మీకు తప్పక లభిస్తుంది. నా ఆశీస్సులు. జై శ్రీరాం!",Non stressed
Kaju darling looking soooooooooo beautiful,Non stressed
Ameki ganga ki kanchana Ki tedha thelidhu papam,Non stressed
​ @NaveenRadam ,Non stressed
"Srihaaan
Super abbaa
True Smile
Vote for srihaaan",Non stressed
Watch This Today ——> 1 Million Live at 8:00 PM https://www.youtube.com/watch?v=NtK6uisTvks,Non stressed
tana kantte nuvve rich laa unnav bro..,Non stressed
I'm shannu Anna fan,Non stressed
మీ కథ మొదట చూడాలనిపించింది తర్వాత అర్దంకాలేదు,Non stressed
Yes bro,Non stressed
బిగ్ బాస్ లాపకి షో,Non stressed
Papam alludu bali,Non stressed
మెసేజ్ ఇవ్వడం కూడా రానప్పుడు ఎందుకు ఇస్తారో ఏంటో అర్థం కాదు,Non stressed
Virupaksha 2,Non stressed
Aa అమ్మాయి em thapu cheyaledhu,Non stressed
Mare ooorikey stars iypothaaraaa,Non stressed
"Kadaa,,Excellent పోలిక..ఒరిజినల్ మొకం పాత వీడియో s lo ఉంది ..hometourఅని చేసింది andulo idi yekkadi nunchi vachindo telisiddi..background marchipoyi style kodatandi.,,,",Non stressed
Ur pair is really good,Non stressed
Yes...today after watching promo...naku same feeling vachindi vadi reaction chusi,Non stressed
అమ్మాయి చాలా బాగుంది,Non stressed
Jai sudheer Anna,Non stressed
Super anna,Non stressed
​ @jaideepthiruveedhi880 ,Non stressed
nee kosam police battallion encounte cheyadaniki vastaru itla cheyyi,Non stressed
Uppal balu LA unnav,Non stressed
నిజంగా ప్రతిజ్ఞ చెప్పాలి స్టేజ్ మీద అనీ. ఆశ మళ్ళీ bayam ఉండేది..... ... మా school time lo 2 నిమిషాలు వార్తలు . ఈ tv ముఖ్యాంశాలు . చెప్పేవాళ్ళ .. నేనూ 1 సారి చెప్పాను...... ఆరోజుల్లో a బయమే తీపి జ్ఞాపకం.,Non stressed
Super madem ilove you,Non stressed
I like your emotional concept both of you,Non stressed
Mean while iam at that situation suddenly sets a wallpaper of johnysiins,Non stressed
​ @uraniumplays7502  cry more,Non stressed
The expression. Of the bride hitsdifferent,Non stressed
Champa paglid,Non stressed
Ilanti manchi videos Inka cheyandi good,Non stressed
Pedda kallu,Non stressed
Konchem manners. Morals unnollu. Ila odd ga cheyyaru.. Minimum maturity and common sense ledh,Non stressed
 @thinkAP1111  Devi movie 2nd (bhanu chander wife character) heroine,Non stressed
Papa makeup tho bagane bachindi .... meerey nidra moham vesukuni vachesaru bro,Non stressed
"Bro , can you help me the background music album ? I really liked it .",Non stressed
true bad friendship,Non stressed
"2nd bagundhi, kani dani kanna baga 4 th bagundi. Aa thravatha mari a season close raaledhu",Non stressed
That one ant pichalu korikina moment,Non stressed
Nice vadina,Non stressed
Mr Shannu is Emotion,Non stressed
 @vijayalaxmisarosiya7510  Nandu.,Non stressed
A Dominating Performance By Hebbah Patel.. Waiting For Part 2,Non stressed
1 vs 2 naa,Non stressed
Crt....no character,Non stressed
prasu ki Pelle kaledu bro,Non stressed
Our Prakash Rai is expert in living the given character! He is made to order for Father's role.,Non stressed
Super super y,Non stressed
 @harishchowdaryyarlagadda5106  vorey suitations valla alla chesindhi and bad friends antunara heroine initialga cheyaledhu kadha rx100 laga,Non stressed
"Today I enjoyed ur video thammudu ,atlat anupama became upma",Non stressed
Haa naakkuda vachura English,Non stressed
I am waiting student episode 2,Non stressed
Scenes ok comedy ekkada? Rant esam mana page lo.,Non stressed
 @childrensenglishwordslesso4004  hahaha haaa ji,Non stressed
Edhi old movie,Non stressed
​ @shaiksajid4739  ⁹,Non stressed
ఈ సినిమా నీ ఎంతమంది చూశారు ఇప్పుడు ఉన్న జనరేషన్ తగ్గట్టుగా సినిమాలో బాగా చూపించాడు డైరెక్టర్ సాయి రాజేష్ గారు,Non stressed
Series name....?,Non stressed
టిఫిన్ పట్టుకోలేకపోయాడు పాపం,Non stressed
Mamul overaction kadhu Siri di,Non stressed
Megastar raa Majjakaaa,Non stressed
Mee maatalu mare mare venela la untai.Abhinandanalu.,Non stressed
 @parushankar4245  pakkaki dengey,Non stressed
Life la ithuku mela enna venumWhat a beautiful movement,Non stressed
"Thanks bro, total story short lo cheppesavvv",Non stressed
If Vijay Devarkonda acted in Baby,Non stressed
Sigma male!,Non stressed
Season 4 never before nd after my abhijeet darling miss u abhi,Non stressed
"Mari Cinema hall chupinchey Sex , lip kiss lu chusi Anandnchitam leda meru Cinema lu enduku chustharu meeru me family...chudaddhu ..chudanivvaddhu start from now sir meeru andaru",Non stressed
100 percent matching bro,Non stressed
 @Shiva-ro1qn  telangana la rosham ane antaru,Non stressed
మంచిగా ఉంటే మంచి తేడా వస్తే తలకాయలు లెచిపోతాయ్ చెప్పు వాళ్ళకి,Non stressed
yes..sinima chusina chala mandhi abbailaki adhi arthamkavatamledhu..,Non stressed
తెలుగు భాష మీద అభిమానం లేని వారు,Non stressed
Lol! Endhuloo release chesthaaru,Non stressed
Happy birthday shannu boi,Non stressed
Vedu ekada dorikadu bigg boss,Non stressed
​ @mangokannada ,Non stressed
Short film chudandi baguntundhii date with a boss,Non stressed
THE KING'S,Non stressed
hakuna matata antey swaheli lo ibbandi ledu ani,Non stressed
Aunty tho anty,Non stressed
Green color dress voice naku baga nachindhi,Non stressed
Shishira prashu anna valla tho vidio cheste bahvundhii..... single ga bahaledhu...... vidios,Non stressed
"Shorts matrame unnayi
Full series levu",Non stressed
Shanuu siri nachaledhu shannu Deepthi carrect,Non stressed
"Avunu,thanu sisira's mother",Non stressed
Episode name,Non stressed
Assalu emaina unda movie... Super ante super ra babu...,Non stressed
Mari screen lone break up shannu ani cheppalaa??? negative ga theeskokandi bcoz she supports him bcoz he is her boyfriend since many years then how can she supports other contestants??,Non stressed
Boss me acting skills awesome,Non stressed
 @chinnidance_lover5310  వచ్చింది అయ్యా వయ్యారి,Non stressed
Super comment bro super superrrr,Non stressed
Scotch കിട്ടുമെന്നത് മനസ്സിലായ വരൻ,Non stressed
Both of them looking like own sisters,Non stressed
Shannu win ithe ne love chesedii or breakup,Non stressed
Happy birthday shannu darling,Non stressed
"Inkem kaadu, utterflop ayedhi chusav ga bigboss lo, veediki intha ledhu le bro,",Non stressed
Champesunte bagundedi daridram vodiledi,Non stressed
Actual Journey begins from here.,Non stressed
 @aspirantstudent9459  edi matram 100 percent true,Non stressed
సూపర్ గా ఉన్నాయి బ్రో నీ వీడియోస్,Non stressed
My hero is ram Charan my favourite hero,Non stressed
కన్స్పెట్లో నిజాయితీ ఆరిస్ట్ లో అందం రెండు బాగున్నాయి,Non stressed
టీచర్ బాగుంది,Non stressed
 @bhushantri4341  that's only i am requesting to create webseries based on this concept with same actress and actor,Non stressed
"yes, bro everybody insulting our culture and language",Non stressed
Bro idi mottom copy from Hindi YouTube channel being kuku,Non stressed
Hi bro nuvu manchi hero avuthavu annaiah all the best meeru chese prathi video nenu chusthanu small movie chusinatle vuntundhi broo,Non stressed
 @sanjg5163  chala,Non stressed
Same nakuda,Non stressed
ఇడ్లి తింటూ ఈ వీడియో చూసా కిడ్నీ ల్లోంచి నీళ్ళు వచ్చాయి,Non stressed
Ram king,Non stressed
చాలామందికి ఇది సూట్ అవుద్ది,Non stressed
 @srikarchandra3798  ha,Non stressed
Perugu annam chalaripaindji,Non stressed
Look like uppalbaalu,Non stressed
Akka nv chala beautiful ga unnav,Non stressed
 @vanajaramoji9745  pulao Andi. Bath ante pulao,Non stressed
Navvutubratakalira Tammudu Navvutuchavalira krishnagari's the best song which maheshbabumissed .,Non stressed
New bestie...,Non stressed
Friendship anthe ante chilli bro friendship lo oka bagam.. boy besties bro,Non stressed
Abba bokkem kadu wrong is wrong,Non stressed
Chala Baga kottinav bro,Non stressed
It's her wish don't judge even that,Non stressed
ని ఆందం చాలబగుంది,Non stressed
Movie name loosu mental,Non stressed
Good msg,Non stressed
